387132,387132,-nan,-nan,-6292741.6544055268
387133,387133,-nan,-nan,-6292741.6544055268
387134,387134,-nan,-nan,-6292741.6544055268
387135,387135,-nan,-nan,-6292741.6544055268
387136,387136,-nan,-nan,-6292741.6544055268
387137,387137,-nan,-nan,-6292741.6544055268
387138,387138,-nan,-nan,-6292741.6544055268
387139,387139,-nan,-nan,-6292741.6544055268
387140,387140,-nan,-nan,-6292741.6544055268
387141,387141,-nan,-nan,-6292741.6544055268
387142,387142,-nan,-nan,-6292741.6544055268
387143,387143,-nan,-nan,-6292741.6544055268
387144,387144,-nan,-nan,-6292741.6544055268
387145,387145,-nan,-nan,-6292741.6544055268
387146,387146,-nan,-nan,-6292741.6544055268
387147,387147,-nan,-nan,-6292741.6544055268
387148,387148,-nan,-nan,-6292741.6544055268
387149,387149,-nan,-nan,-6292741.6544055268
387150,387150,-nan,-nan,-6292741.6544055268
387151,387151,-nan,-nan,-6292741.6544055268
387152,387152,-nan,-nan,-6292741.6544055268
387153,387153,-nan,-nan,-6292741.6544055268
387154,387154,-nan,-nan,-6292741.6544055268
387155,387155,-nan,-nan,-6292741.6544055268
387156,387156,-nan,-nan,-6292741.6544055268
387157,387157,-nan,-nan,-6292741.6544055268
387158,387158,-nan,-nan,-6292741.6544055268
387159,387159,-nan,-nan,-6292741.6544055268
387160,387160,-nan,-nan,-6292741.6544055268
387161,387161,-nan,-nan,-6292741.6544055268
387162,387162,-nan,-nan,-6292741.6544055268
387163,387163,-nan,-nan,-6292741.6544055268
387164,387164,-nan,-nan,-6292741.6544055268
387165,387165,-nan,-nan,-6292741.6544055268
387166,387166,-nan,-nan,-6292741.6544055268
387167,387167,-nan,-nan,-6292741.6544055268
387168,387168,-nan,-nan,-6292741.6544055268
387169,387169,-nan,-nan,-6292741.6544055268
387170,387170,-nan,-nan,-6292741.6544055268
387171,387171,-nan,-nan,-6292741.6544055268
387172,387172,-nan,-nan,-6292741.6544055268
387173,387173,-nan,-nan,-6292741.6544055268
387174,387174,-nan,-nan,-6292741.6544055268
387175,387175,-nan,-nan,-6292741.6544055268
387176,387176,-nan,-nan,-6292741.6544055268
387177,387177,-nan,-nan,-6292741.6544055268
387178,387178,22.3686793885,114.1157308774,21.9470771560
387179,387179,-nan,-nan,-6292741.6544055268
387180,387180,-nan,-nan,-6292741.6544055268
387181,387181,22.3686384585,114.1158466697,1.4950297066
387182,387182,-nan,-nan,-6292741.6544055268
387183,387183,22.3684964606,114.1160399035,135.7384379383
387184,387184,22.3685247442,114.1160415560,123.2523214446
387185,387185,22.3684846191,114.1161077550,151.1307435880
387186,387186,-37.8950133297,-64.0952592420,12805350.4595741089
387187,387187,22.3686632428,114.1158680361,24.4955829506
387188,387188,22.3686469496,114.1158526128,23.9684399772
