GPS_week,GPS_tow,Latitude(deg),Longitude(deg),Altitude(m)
2166,137089.000,22.29929760,114.17798916,4.770
2166,137090.000,22.29929774,114.17798956,4.770
2166,137091.000,22.29929153,114.17799920,4.770
2166,137092.000,22.29929160,114.17799933,4.770
2166,137093.000,22.29929162,114.17799937,4.770
2166,137094.000,22.29910343,114.17818301,4.770
2166,137095.000,22.29909342,114.17818593,4.770
2166,137096.000,22.29909359,114.17817683,4.770
2166,137097.000,22.29907758,114.17819404,4.770
2166,137098.000,22.29905411,114.17817010,4.770
2166,137099.000,22.29905970,114.17819501,4.770
2166,137100.000,22.29905970,114.17819501,4.770
2166,137101.000,22.29906892,114.17819484,4.770
2166,137102.000,22.29907647,114.17821226,4.770
2166,137103.000,22.29905826,114.17823150,4.770
2166,137104.000,22.29905978,114.17819546,4.770
2166,137105.000,22.29904146,114.17821422,4.770
2166,137106.000,22.29904856,114.17825054,4.770
2166,137107.000,22.29902262,114.17826973,4.770
2166,137108.000,22.29858875,114.17832175,4.770
2166,137109.000,22.29857620,114.17831331,4.770
2166,137110.000,22.29901366,114.17823558,4.770
2166,137111.000,22.29897951,114.17825704,4.770
2166,137112.000,22.29899733,114.17824909,4.770
2166,137113.000,22.29856992,114.17830927,4.770
2166,137114.000,22.29901367,114.17823559,4.770
2166,137115.000,22.29857415,114.17831412,4.770
2166,137116.000,22.29900680,114.17822315,4.770
2166,137117.000,22.29891875,114.17827988,4.770
2166,137118.000,22.29899542,114.17823785,4.770
2166,137119.000,22.29895116,114.17827168,4.770
2166,137120.000,22.29857136,114.17830901,4.770
2166,137121.000,22.29857505,114.17831362,4.770
2166,137122.000,22.29857623,114.17831251,4.770
2166,137123.000,22.29858203,114.17831514,4.770
2166,137124.000,22.29857421,114.17831269,4.770
2166,137125.000,22.29857130,114.17830906,4.770
2166,137126.000,22.29857107,114.17830765,4.770
2166,137127.000,22.29856968,114.17830785,4.770
2166,137128.000,22.29856910,114.17830860,4.770
2166,137129.000,22.29894699,114.17829596,4.770
2166,137130.000,22.29893342,114.17829690,4.770
2166,137131.000,22.29881553,114.17833119,4.770
2166,137132.000,22.29864046,114.17832025,4.770
2166,137133.000,22.29870093,114.17831520,4.770
2166,137134.000,22.29873891,114.17832491,4.770
2166,137135.000,22.29883082,114.17833828,4.770
2166,137136.000,22.29861943,114.17829763,4.770
2166,137137.000,22.29860367,114.17826826,4.770
2166,137138.000,22.29862568,114.17829067,4.770
2166,137139.000,22.29866527,114.17831643,4.770
2166,137140.000,22.29868516,114.17832722,4.770
2166,137141.000,22.29860849,114.17828217,4.770
2166,137142.000,22.29883377,114.17795155,4.770
2166,137143.000,22.29883377,114.17795155,4.770
2166,137144.000,22.29883377,114.17794948,4.770
2166,137145.000,22.29883557,114.17794774,4.770
2166,137146.000,22.29883377,114.17795072,4.770
2166,137147.000,22.29883377,114.17795031,4.770
2166,137148.000,22.29882603,114.17794588,4.770
2166,137149.000,22.29882926,114.17794415,4.770
2166,137150.000,22.29883377,114.17794967,4.770
2166,137151.000,22.29883377,114.17794938,4.770
2166,137152.000,22.29882379,114.17793781,4.770
2166,137153.000,22.29862022,114.17792645,4.770
2166,137154.000,22.29864091,114.17790919,4.770
2166,137155.000,22.29863349,114.17791096,4.770
2166,137156.000,22.29863432,114.17791124,4.770
2166,137157.000,22.29864437,114.17790034,4.770
2166,137158.000,22.29864433,114.17790021,4.770
2166,137159.000,22.29864882,114.17789769,4.770
2166,137160.000,22.29864435,114.17790031,4.770
2166,137161.000,22.29864550,114.17789983,4.770
2166,137162.000,22.29864946,114.17789724,4.770
2166,137163.000,22.29864003,114.17790374,4.770
2166,137164.000,22.29864003,114.17790377,4.770
2166,137165.000,22.29864294,114.17790084,4.770
2166,137166.000,22.29863462,114.17790706,4.770
2166,137167.000,22.29864295,114.17790085,4.770
2166,137168.000,22.29863461,114.17790707,4.770
2166,137169.000,22.29863862,114.17790418,4.770
2166,137170.000,22.29863018,114.17791116,4.770
2166,137171.000,22.29863720,114.17790753,4.770
2166,137172.000,22.29882122,114.17791931,4.770
2166,137173.000,22.29882121,114.17791930,4.770
2166,137174.000,22.29883672,114.17792205,4.770
2166,137175.000,22.29883882,114.17792741,4.770
2166,137176.000,22.29883787,114.17792686,4.770
2166,137177.000,22.29884883,114.17792813,4.770
2166,137178.000,22.29883650,114.17793145,4.770
2166,137179.000,22.29883655,114.17794098,4.770
2166,137180.000,22.29884266,114.17794822,4.770
2166,137181.000,22.29864665,114.17830339,4.770
2166,137182.000,22.29891558,114.17832473,4.770
2166,137183.000,22.29891628,114.17833474,4.770
2166,137184.000,22.29893969,114.17834505,4.770
2166,137185.000,22.29893973,114.17836196,4.770
2166,137186.000,22.29896163,114.17830901,4.770
2166,137187.000,22.29894792,114.17824879,4.770
2166,137188.000,22.29857698,114.17830523,4.770
2166,137189.000,22.29900534,114.17825227,4.770
2166,137190.000,22.29892918,114.17826747,4.770
2166,137191.000,22.29903022,114.17827049,4.770
2166,137192.000,22.29920467,114.17835031,4.770
2166,137193.000,22.29910232,114.17830932,4.770
2166,137194.000,22.29903057,114.17828975,4.770
2166,137195.000,22.29909112,114.17830212,4.770
2166,137196.000,22.29920428,114.17834385,4.770
2166,137197.000,22.29913097,114.17831545,4.770
2166,137198.000,22.29906583,114.17829416,4.770
2166,137199.000,22.29898839,114.17826393,4.770
2166,137200.000,22.29900534,114.17827168,4.770
2166,137201.000,22.29919305,114.17835687,4.770
2166,137202.000,22.29899631,114.17827013,4.770
2166,137203.000,22.29858986,114.17831878,4.770
2166,137204.000,22.29857170,114.17831075,4.770
2166,137205.000,22.29860256,114.17832686,4.770
2166,137206.000,22.29860060,114.17832756,4.770
2166,137207.000,22.29890580,114.17827341,4.770
2166,137208.000,22.29862580,114.17829337,4.770
2166,137209.000,22.29896273,114.17832614,4.770
2166,137210.000,22.29896025,114.17831028,4.770
2166,137211.000,22.29901134,114.17831281,4.770
2166,137212.000,22.29899631,114.17829051,4.770
2166,137213.000,22.29900023,114.17830500,4.770
2166,137214.000,22.29897026,114.17831671,4.770
2166,137215.000,22.29895147,114.17829837,4.770
2166,137216.000,22.29895303,114.17831627,4.770
2166,137217.000,22.29898868,114.17830243,4.770
2166,137218.000,22.29896710,114.17833602,4.770
2166,137219.000,22.29897853,114.17820405,4.770
2166,137220.000,22.29902441,114.17832735,4.770
2166,137221.000,22.29901296,114.17830567,4.770
2166,137222.000,22.29902247,114.17829922,4.770
2166,137223.000,22.29901173,114.17826481,4.770
2166,137224.000,22.29900287,114.17823020,4.770
2166,137225.000,22.29900439,114.17823184,4.770
2166,137226.000,22.29899890,114.17822594,4.770
2166,137227.000,22.29898992,114.17822817,4.770
2166,137228.000,22.29898678,114.17822355,4.770
2166,137229.000,22.29898000,114.17821262,4.770
2166,137230.000,22.29898049,114.17821335,4.770
2166,137231.000,22.29898657,114.17821269,4.770
2166,137232.000,22.29898779,114.17823341,4.770
2166,137233.000,22.29883377,114.17795383,4.770
2166,137234.000,22.29883377,114.17795219,4.770
2166,137235.000,22.29883176,114.17794711,4.770
2166,137236.000,22.29884259,114.17794856,4.770
2166,137237.000,22.29883176,114.17794711,4.770
2166,137238.000,22.29882298,114.17793343,4.770
2166,137239.000,22.29882282,114.17793199,4.770
2166,137240.000,22.29880392,114.17790944,4.770
2166,137241.000,22.29881429,114.17791374,4.770
2166,137242.000,22.29882791,114.17792665,4.770
2166,137243.000,22.29881382,114.17791373,4.770
2166,137244.000,22.29879523,114.17789558,4.770
2166,137245.000,22.29879189,114.17789279,4.770
2166,137246.000,22.29881049,114.17790897,4.770
2166,137247.000,22.29868099,114.17786451,4.770
2166,137248.000,22.29883642,114.17792802,4.770
2166,137249.000,22.29883377,114.17792619,4.770
2166,137250.000,22.29880389,114.17789765,4.770
2166,137251.000,22.29879003,114.17789516,4.770
2166,137252.000,22.29882060,114.17792222,4.770
2166,137253.000,22.29882057,114.17792219,4.770
2166,137254.000,22.29882401,114.17793118,4.770
2166,137255.000,22.29884280,114.17794755,4.770
2166,137256.000,22.29884272,114.17794791,4.770
2166,137257.000,22.29884275,114.17794776,4.770
2166,137258.000,22.29899447,114.17825605,4.770
2166,137259.000,22.29902340,114.17823286,4.770
2166,137260.000,22.29900120,114.17834144,4.770
2166,137261.000,22.29897205,114.17833249,4.770
2166,137262.000,22.29899059,114.17834069,4.770
2166,137263.000,22.29902369,114.17831081,4.770
2166,137264.000,22.29905980,114.17832907,4.770
2166,137265.000,22.29903773,114.17832585,4.770
2166,137266.000,22.29898200,114.17826933,4.770
2166,137267.000,22.29902591,114.17829379,4.770
2166,137268.000,22.29905540,114.17831406,4.770
2166,137269.000,22.29920811,114.17834763,4.770
2166,137270.000,22.29920658,114.17834652,4.770
2166,137271.000,22.29920512,114.17834642,4.770
